# Max time: 1.6 seconds
# Timestep: 2.5e-06 seconds
# Iterations: 640001 per particle per run
# Seed: 2345
# Setup complete, beginning evolution.
# Y: [0, 2e-05]
# Z: [-4e-05, 1e-05]
# Test step: 1 microns.
1e-05 -3.2e-05 0.828125
1e-05 -3.1e-05 0.875
1e-05 -3e-05 0.78125
1e-05 -2.9e-05 0.859375
1e-05 -2.8e-05 0.765625
1e-05 -2.7e-05 0.859375
1e-05 -2.6e-05 0.828125
1e-05 -2.5e-05 0.921875
1e-05 -2.4e-05 0.84375
1e-05 -2.3e-05 0.90625
1e-05 -2.2e-05 0.875
1e-05 -2.1e-05 0.875
1e-05 -2e-05 0.90625
1e-05 -1.9e-05 0.875
1e-05 -1.8e-05 0.90625
1e-05 -1.7e-05 0.90625
1e-05 -1.6e-05 0.96875
1e-05 -1.5e-05 0.953125
1e-05 -1.4e-05 0.984375
1e-05 -1.3e-05 0.90625
1e-05 -1.2e-05 0.953125
1e-05 -1.1e-05 0.953125
1e-05 -1e-05 0.96875
1e-05 -9e-06 0.953125
1e-05 -8e-06 0.921875
1e-05 -7e-06 0.9375
1e-05 -6e-06 0.921875
1e-05 -5e-06 0.84375
1e-05 -4e-06 0.5625
1e-05 -3e-06 0.390625
1e-05 -2e-06 0.078125
1e-05 -1e-06 0
1e-05 -1.0099e-13 0.046875
1e-05 1e-06 0.015625
1e-05 2e-06 0.03125
1e-05 3e-06 0
1e-05 4e-06 0.03125
1e-05 5e-06 0.03125
1e-05 6e-06 0.015625
1e-05 7e-06 0.015625
1e-05 8e-06 0
1e-05 9e-06 0.03125
1e-05 1e-05 0
1.1e-05 -4e-05 0.734375
1.1e-05 -3.9e-05 0.71875
1.1e-05 -3.8e-05 0.84375
1.1e-05 -3.7e-05 0.796875
1.1e-05 -3.6e-05 0.71875
1.1e-05 -3.5e-05 0.78125
1.1e-05 -3.4e-05 0.71875
1.1e-05 -3.3e-05 0.765625
1.1e-05 -3.2e-05 0.765625
1.1e-05 -3.1e-05 0.765625
1.1e-05 -3e-05 0.71875
1.1e-05 -2.9e-05 0.796875
1.1e-05 -2.8e-05 0.71875
1.1e-05 -2.7e-05 0.765625
1.1e-05 -2.6e-05 0.703125
1.1e-05 -2.5e-05 0.90625
1.1e-05 -2.4e-05 0.796875
1.1e-05 -2.3e-05 0.8125
1.1e-05 -2.2e-05 0.8125
1.1e-05 -2.1e-05 0.890625
1.1e-05 -2e-05 0.875
1.1e-05 -1.9e-05 0.9375
1.1e-05 -1.8e-05 0.765625
1.1e-05 -1.7e-05 0.890625
1.1e-05 -1.6e-05 0.8125
1.1e-05 -1.5e-05 0.78125
1.1e-05 -1.4e-05 0.875
1.1e-05 -1.3e-05 0.890625
1.1e-05 -1.2e-05 0.859375
1.1e-05 -1.1e-05 0.8125
1.1e-05 -1e-05 0.84375
1.1e-05 -9e-06 0.890625
1.1e-05 -8e-06 0.859375
1.1e-05 -7e-06 0.8125
1.1e-05 -6e-06 0.75
1.1e-05 -5e-06 0.53125
1.1e-05 -4e-06 0.3125
1.1e-05 -3e-06 0.078125
1.1e-05 -2e-06 0.015625
1.1e-05 -1e-06 0
1.1e-05 -1.0099e-13 0
1.1e-05 1e-06 0.015625
1.1e-05 2e-06 0
1.1e-05 3e-06 0
1.1e-05 4e-06 0
1.1e-05 5e-06 0.015625
1.1e-05 6e-06 0.015625
1.1e-05 7e-06 0.015625
1.1e-05 8e-06 0
1.1e-05 9e-06 0.03125
1.1e-05 1e-05 0.015625
1.2e-05 -4e-05 0.671875
1.2e-05 -3.9e-05 0.765625
1.2e-05 -3.8e-05 0.640625
1.2e-05 -3.7e-05 0.578125
1.2e-05 -3.6e-05 0.75
1.2e-05 -3.5e-05 0.609375
1.2e-05 -3.4e-05 0.6875
1.2e-05 -3.3e-05 0.625
1.2e-05 -3.2e-05 0.71875
1.2e-05 -3.1e-05 0.703125
1.2e-05 -3e-05 0.640625
1.2e-05 -2.9e-05 0.59375
1.2e-05 -2.8e-05 0.671875
1.2e-05 -2.7e-05 0.703125
1.2e-05 -2.6e-05 0.6875
1.2e-05 -2.5e-05 0.625
1.2e-05 -2.4e-05 0.78125
1.2e-05 -2.3e-05 0.6875
1.2e-05 -2.2e-05 0.703125
1.2e-05 -2.1e-05 0.703125
1.2e-05 -2e-05 0.703125
1.2e-05 -1.9e-05 0.75
1.2e-05 -1.8e-05 0.828125
1.2e-05 -1.7e-05 0.734375
1.2e-05 -1.6e-05 0.765625
1.2e-05 -1.5e-05 0.765625
1.2e-05 -1.4e-05 0.78125
1.2e-05 -1.3e-05 0.703125
1.2e-05 -1.2e-05 0.703125
1.2e-05 -1.1e-05 0.765625
1.2e-05 -1e-05 0.734375
1.2e-05 -9e-06 0.671875
1.2e-05 -8e-06 0.671875
1.2e-05 -7e-06 0.5625
1.2e-05 -6e-06 0.53125
1.2e-05 -5e-06 0.1875
1.2e-05 -4e-06 0.078125
1.2e-05 -3e-06 0.03125
1.2e-05 -2e-06 0
1.2e-05 -1e-06 0.03125
1.2e-05 -1.0099e-13 0.015625
1.2e-05 1e-06 0.03125
1.2e-05 2e-06 0.015625
1.2e-05 3e-06 0.015625
1.2e-05 4e-06 0
1.2e-05 5e-06 0
1.2e-05 6e-06 0
1.2e-05 7e-06 0
1.2e-05 8e-06 0
1.2e-05 9e-06 0
1.2e-05 1e-05 0
1.3e-05 -4e-05 0.5625
1.3e-05 -3.9e-05 0.5
1.3e-05 -3.8e-05 0.5
1.3e-05 -3.7e-05 0.546875
1.3e-05 -3.6e-05 0.609375
1.3e-05 -3.5e-05 0.484375
1.3e-05 -3.4e-05 0.625
1.3e-05 -3.3e-05 0.6875
1.3e-05 -3.2e-05 0.5625
1.3e-05 -3.1e-05 0.609375
1.3e-05 -3e-05 0.59375
1.3e-05 -2.9e-05 0.484375
1.3e-05 -2.8e-05 0.609375
1.3e-05 -2.7e-05 0.53125
1.3e-05 -2.6e-05 0.5625
1.3e-05 -2.5e-05 0.59375
1.3e-05 -2.4e-05 0.5625
1.3e-05 -2.3e-05 0.59375
1.3e-05 -2.2e-05 0.5625
1.3e-05 -2.1e-05 0.65625
1.3e-05 -2e-05 0.609375
1.3e-05 -1.9e-05 0.515625
1.3e-05 -1.8e-05 0.59375
1.3e-05 -1.7e-05 0.625
1.3e-05 -1.6e-05 0.53125
1.3e-05 -1.5e-05 0.46875
1.3e-05 -1.4e-05 0.65625
1.3e-05 -1.3e-05 0.515625
1.3e-05 -1.2e-05 0.546875
1.3e-05 -1.1e-05 0.578125
1.3e-05 -1e-05 0.40625
1.3e-05 -9e-06 0.5625
1.3e-05 -8e-06 0.4375
1.3e-05 -7e-06 0.4375
1.3e-05 -6e-06 0.21875
1.3e-05 -5e-06 0.125
1.3e-05 -4e-06 0.046875
1.3e-05 -3e-06 0.015625
1.3e-05 -2e-06 0.015625
1.3e-05 -1e-06 0
1.3e-05 -1.0099e-13 0
1.3e-05 1e-06 0
