# Max time: 1.3 seconds
# Timestep: 2.7 microsec
# Num particles 1024
# y steps: 4
# z steps: 113
# Iterations: 481482 per particle per run
# y: [0, 9.9e-07]
# z: [-2e-05, 8.1e-06]
# Test step: 0.25 microns.
# Elapsed time: 2298.9 ms
# Elapsed time: 2280.2 ms
5e-07 -1.275e-05 1
# Elapsed time: 2297.23 ms
5e-07 -1.25e-05 1
# Elapsed time: 2280.14 ms
5e-07 -1.225e-05 1
# Elapsed time: 2280.16 ms
5e-07 -1.2e-05 1
# Elapsed time: 2301.82 ms
5e-07 -1.175e-05 1
# Elapsed time: 2280.23 ms
5e-07 -1.15e-05 1
# Elapsed time: 2280.26 ms
5e-07 -1.125e-05 1
# Elapsed time: 2293.6 ms
5e-07 -1.1e-05 1
# Elapsed time: 2280.14 ms
5e-07 -1.075e-05 1
# Elapsed time: 2280.25 ms
5e-07 -1.05e-05 1
# Elapsed time: 2294.14 ms
5e-07 -1.025e-05 1
# Elapsed time: 2296.56 ms
5e-07 -1e-05 1
# Elapsed time: 2280.25 ms
5e-07 -9.75e-06 1
# Elapsed time: 2279.99 ms
5e-07 -9.5e-06 1
# Elapsed time: 2294.56 ms
5e-07 -9.25e-06 1
# Elapsed time: 2280.16 ms
5e-07 -9e-06 1
# Elapsed time: 2281.56 ms
5e-07 -8.75e-06 1
# Elapsed time: 2305.69 ms
5e-07 -8.5e-06 1
# Elapsed time: 2280.18 ms
5e-07 -8.25e-06 1
# Elapsed time: 2280.15 ms
5e-07 -8e-06 1
# Elapsed time: 2305.82 ms
5e-07 -7.75e-06 1
# Elapsed time: 2295.45 ms
5e-07 -7.5e-06 1
# Elapsed time: 2280.14 ms
5e-07 -7.25e-06 1
# Elapsed time: 2280.16 ms
5e-07 -7e-06 1
# Elapsed time: 2294.08 ms
5e-07 -6.75e-06 1
# Elapsed time: 2280.08 ms
5e-07 -6.5e-06 1
# Elapsed time: 2281.06 ms
5e-07 -6.25e-06 1
# Elapsed time: 2282.7 ms
5e-07 -6e-06 1
# Elapsed time: 2280.16 ms
5e-07 -5.75e-06 1
# Elapsed time: 2280.16 ms
5e-07 -5.5e-06 1
# Elapsed time: 2281.22 ms
5e-07 -5.25e-06 1
# Elapsed time: 2280.17 ms
5e-07 -5e-06 1
# Elapsed time: 2280.2 ms
5e-07 -4.75e-06 1
# Elapsed time: 2294.73 ms
5e-07 -4.5e-06 1
# Elapsed time: 2292.6 ms
5e-07 -4.25e-06 1
# Elapsed time: 2280.16 ms
5e-07 -4e-06 1
# Elapsed time: 2281.04 ms
5e-07 -3.75e-06 1
# Elapsed time: 2282.2 ms
5e-07 -3.5e-06 1
# Elapsed time: 2280.16 ms
5e-07 -3.25e-06 1
# Elapsed time: 2280.17 ms
5e-07 -3e-06 1
# Elapsed time: 2280.16 ms
5e-07 -2.75e-06 1
# Elapsed time: 2301.47 ms
5e-07 -2.5e-06 1
# Elapsed time: 2280.16 ms
5e-07 -2.25e-06 1
# Elapsed time: 2280.16 ms
5e-07 -2e-06 1
# Elapsed time: 2290.67 ms
5e-07 -1.75e-06 1
# Elapsed time: 2280.19 ms
5e-07 -1.5e-06 1
# Elapsed time: 2280.08 ms
5e-07 -1.25e-06 1
# Elapsed time: 2290.05 ms
5e-07 -9.99999e-07 1
# Elapsed time: 2280.18 ms
5e-07 -7.49999e-07 1
# Elapsed time: 2279.96 ms
5e-07 -4.99999e-07 1
# Elapsed time: 2287.83 ms
5e-07 -2.49999e-07 1
# Elapsed time: 2280.06 ms
5e-07 5.05242e-13 1
# Elapsed time: 2278.61 ms
5e-07 2.50001e-07 1
# Elapsed time: 2287.18 ms
5e-07 5.00001e-07 1
# Elapsed time: 2280.17 ms
5e-07 7.50001e-07 1
# Elapsed time: 2280.16 ms
5e-07 1e-06 1
# Elapsed time: 2297.14 ms
5e-07 1.25e-06 1
# Elapsed time: 2280.16 ms
5e-07 1.5e-06 1
# Elapsed time: 2280.16 ms
5e-07 1.75e-06 1
# Elapsed time: 2283.7 ms
5e-07 2e-06 1
# Elapsed time: 2280.17 ms
5e-07 2.25e-06 1
# Elapsed time: 2280.16 ms
5e-07 2.5e-06 1
# Elapsed time: 2305.88 ms
5e-07 2.75e-06 1
# Elapsed time: 2302.98 ms
5e-07 3e-06 1
# Elapsed time: 2280.16 ms
5e-07 3.25e-06 1
# Elapsed time: 2281.08 ms
5e-07 3.5e-06 1
# Elapsed time: 2303.29 ms
5e-07 3.75e-06 1
# Elapsed time: 2280.16 ms
5e-07 4e-06 1
# Elapsed time: 2280.16 ms
5e-07 4.25e-06 1
# Elapsed time: 2306.4 ms
